
2536101,3,4,5
2537101,1,2,1
2538101,1,4,1
2555101,3,4,5
2555121,3,4,5
2555131,3,4,5
2598511,4,7,5
2536201,3,4,5
2538201,1,4,1
2539101,3,4,5
2555221,3,4,5
2555231,3,4,5
2598521,4,7,5
2599421,1,2,1
2517362,1,2,1
2536301,3,4,5
2538301,1,4,1
2555331,3,4,5
2598531,3,4,5
2598532,4,7,5
2599431,3,4,5
2536311,3,4,5
2538401,1,4,1
2598541,3,4,5
2598542,4,7,5
2598544,3,4,5
2599441,1,3,1
2536502,2,6,1
2538501,1,4,1
2598551,3,4,5
2598554,3,4,5
2599451,4,7,5
2599452,4,7,5
2538601,1,4,1
2599461,4,7,5
2599462,3,4,5
2599463,3,4,5
2599464,4,7,5
2599465,3,4,5
2599471,4,7,5
2599472,3,6,3
2599473,3,4,5
2599474,3,4,5
2599475,4,7,5
2599481,4,6,6
2599482,3,6,3
2599483,4,6,6
2599484,1,3,1
2599491,3,4,5
2599492,3,4,5
2599493,2,4,2
2599401,1,2,1
2566103,3,4,5
2566112,3,4,5
2566336,3,4,5
2566329,3,4,5
2566250,3,4,5
2566330,3,4,5
2566331,3,4,5
2566116,3,4,5
2566343,3,4,5
2566344,3,4,5
2566341,3,4,5
2566337,3,4,5
2566115,3,4,5
2566334,3,4,5
2566332,3,4,5
2566333,3,4,5
2517208,3,4,5
2517206,3,4,5
2517204,3,4,5
2566113,3,4,5
2566312,3,4,5
2566328,3,4,5
2566201,3,4,5
2566111,3,4,5
2566101,3,4,5
2566338,3,4,5
2566104,3,2,7
2517203,4,5,6
2566339,3,4,5
2566102,4,5,6
2566340,3,4,5
2566342,3,4,5
2566335,3,4,5
2566114,3,4,5
2566106,3,4,5
2566105,3,4,5
2599094,12,2,31
2599095,12,2,31
2599093,12,2,31
2599092,12,2,31
2599091,12,2,31
2599008,3,4,5
2599014,3,4,5
2599005,3,6,3
2599007,3,4,5
2599004,3,4,5
2598034,3,6,3
2599009,3,6,3
2599001,3,6,3
2599001,3,4,5
2599003,3,4,5
2599002,3,4,5
